problem,z3,msat,minisat-ml,minisat,batsat,z3.time,msat.time,minisat-ml.time,minisat.time,batsat.time
benchs/basic/uuf50-0999.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0998.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0997.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0996.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0995.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0994.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0993.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0992.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0991.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0990.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-099.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0989.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0988.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0987.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0986.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.03,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0985.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0984.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0983.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0982.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0981.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0980.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-098.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0979.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0978.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0977.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0976.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0975.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.02,0.02,0.01,0.01
benchs/basic/uuf50-0974.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0973.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0972.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.02,0.02,0.01,0.01
benchs/basic/uuf50-0971.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0970.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-097.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0969.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0968.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0967.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0966.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0965.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0964.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0963.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0962.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0961.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0960.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-096.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0959.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0958.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0957.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0956.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0955.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0954.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0953.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0952.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0951.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0950.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-095.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0949.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0948.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0947.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0946.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0945.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0944.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0943.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0942.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0941.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.02,0.02,0.02,0.01
benchs/basic/uuf50-0940.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-094.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0939.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0938.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0937.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0936.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0935.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.03,0.02,0.02
benchs/basic/uuf50-0934.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.03,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0933.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0932.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0931.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0930.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-093.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0929.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0928.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0927.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0926.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0925.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0924.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.02,0.02,0.01,0.01
benchs/basic/uuf50-0923.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0922.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0921.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0920.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-092.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0919.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0918.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0917.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0916.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0915.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0914.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0913.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0912.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0911.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.02,0.02,0.01,0.01
benchs/basic/uuf50-0910.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-091.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0909.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0908.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0907.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0906.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0905.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0904.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0903.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0902.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.02,0.02,0.01,0.01
benchs/basic/uuf50-0901.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0900.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-090.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-09.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0899.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0898.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0897.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0896.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0895.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0894.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0893.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0892.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0891.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0890.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-089.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0889.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0888.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0887.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0886.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
