problem,z3,msat,minisat-ml,minisat,batsat,z3.time,msat.time,minisat-ml.time,minisat.time,batsat.time
benchs/sat_race_2006/velev-vliw-uns-4.0-9C1.cnf,unknown,error,error,unknown,unknown,300.03,14.02,301.01,300.05,300.04
benchs/sat_race_2006/velev-vliw-uns-2.0-iq4.cnf,unknown,error,error,unknown,unknown,300.03,26.32,301.01,300.06,300.04
benchs/sat_race_2006/velev-vliw-sat-4.0-b4.cnf,unknown,error,sat,sat,sat,300.08,8.79,118.67,33.02,43.83
benchs/sat_race_2006/velev-vliw-sat-4.0-b3.cnf,sat,error,sat,sat,sat,300.09,8.40,28.69,6.19,8.20
benchs/sat_race_2006/velev-vliw-sat-4.0-b1.cnf,unknown,error,sat,sat,sat,300.08,8.72,88.55,27.57,35.30
benchs/sat_race_2006/velev-vliw-sat-2.0-b6.cnf,unknown,error,sat,sat,sat,300.05,8.60,16.74,11.41,13.69
benchs/sat_race_2006/velev-pipe-uns-1.1-7.cnf,unknown,error,error,unknown,unknown,300.02,123.88,301.01,300.02,300.03
benchs/sat_race_2006/velev-pipe-uns-1.0-9.cnf,unknown,error,error,unknown,unknown,300.03,8.08,301.01,300.05,300.04
benchs/sat_race_2006/velev-pipe-uns-1.0-8.cnf,unknown,error,error,unknown,unknown,300.02,55.06,221.69,300.07,300.05
benchs/sat_race_2006/velev-pipe-sat-1.1-b7.cnf,unknown,error,sat,sat,sat,300.03,8.39,71.83,16.69,18.94
benchs/sat_race_2006/velev-pipe-sat-1.0-b9.cnf,unknown,error,sat,sat,sat,300.06,8.48,11.77,2.28,3.26
benchs/sat_race_2006/velev-pipe-sat-1.0-b7.cnf,unknown,error,sat,sat,sat,300.07,8.09,125.09,8.52,10.34
benchs/sat_race_2006/velev-pipe-sat-1.0-b10.cnf,unknown,error,error,sat,sat,300.05,8.23,301.01,91.38,102.74
benchs/sat_race_2006/velev-pipe-o-uns-1.1-6.cnf,unknown,error,error,unknown,unknown,300.02,103.31,301.01,300.02,300.04
benchs/sat_race_2006/velev-pipe-o-uns-1.0-7.cnf,unknown,error,error,unknown,unknown,300.04,93.57,301.01,300.03,300.04
benchs/sat_race_2006/velev-npe-1.0-9dlx-b71.cnf,unknown,error,error,sat,sat,300.06,9.02,301.03,97.84,171.34
benchs/sat_race_2006/velev-live-uns-2.0-ebuf.cnf,unsat,unsat,unsat,unsat,unsat,67.70,71.08,114.45,16.07,36.24
benchs/sat_race_2006/velev-fvp-sat-3.0-b18.cnf,sat,error,sat,sat,sat,149.92,95.50,40.66,17.64,22.96
benchs/sat_race_2006/velev-engi-uns-1.0-5c1.cnf,unsat,unsat,unsat,unsat,unsat,3.36,16.87,6.33,1.66,2.70
benchs/sat_race_2006/velev-engi-uns-1.0-4nd.cnf,unsat,unsat,unsat,unsat,unsat,33.03,84.99,27.10,9.34,11.25
benchs/sat_race_2006/vange-col-inithx.i.1-cn-54.cnf,sat,sat,sat,sat,sat,6.59,42.76,5.22,2.15,1.90
benchs/sat_race_2006/vange-col-abb313GPIA-9-c.cnf,unknown,error,error,unknown,unknown,300.02,301.01,301.01,300.02,300.03
benchs/sat_race_2006/simon-s03-fifo8-400.cnf,unsat,error,unsat,unsat,unsat,54.78,197.51,285.00,142.97,124.07
benchs/sat_race_2006/simon-s03-fifo8-300.cnf,unsat,unsat,unsat,unsat,unsat,32.41,217.99,157.67,47.38,52.27
benchs/sat_race_2006/simon-s02b-r4b1k1.1.cnf,sat,error,sat,sat,sat,106.00,144.00,281.62,35.85,44.78
benchs/sat_race_2006/simon-s02b-k2f-gr-rcs-w8.cnf,unknown,unsat,error,unknown,unknown,300.02,8.60,301.01,300.03,300.04
benchs/sat_race_2006/simon-s02b-dp11u10.cnf,unsat,error,unsat,unsat,unsat,40.62,196.07,237.60,151.51,144.87
benchs/sat_race_2006/simon-s02-w08-18.cnf,sat,error,sat,sat,sat,57.37,296.65,100.86,86.87,114.69
benchs/sat_race_2006/schup-l2s-motst-2-k315.cnf,sat,error,error,sat,sat,17.70,17.77,301.01,95.96,218.84
benchs/sat_race_2006/schup-l2s-guid-1-k56.cnf,unknown,error,error,unsat,unsat,300.02,201.31,301.01,242.94,226.27
benchs/sat_race_2006/narain-vpn-clauses-6.cnf,sat,error,error,sat,sat,225.42,8.29,301.01,169.16,116.15
benchs/sat_race_2006/mizh-sha0-36-2.cnf,sat,error,error,sat,sat,189.54,172.71,301.01,22.15,39.46
benchs/sat_race_2006/mizh-sha0-35-5.cnf,sat,error,error,sat,unknown,54.61,194.12,301.01,78.17,300.04
benchs/sat_race_2006/mizh-sha0-35-4.cnf,sat,sat,sat,sat,sat,98.87,185.72,89.94,228.13,82.98
benchs/sat_race_2006/mizh-sha0-35-3.cnf,sat,error,sat,sat,sat,95.42,171.39,37.34,26.81,49.44
benchs/sat_race_2006/mizh-sha0-35-2.cnf,sat,error,sat,sat,sat,57.14,186.80,220.91,134.35,128.64
benchs/sat_race_2006/mizh-md5-48-5.cnf,sat,error,error,unknown,unknown,210.37,177.34,301.01,300.04,300.03
benchs/sat_race_2006/mizh-md5-48-2.cnf,sat,error,error,sat,unknown,94.23,301.01,301.01,143.15,300.06
benchs/sat_race_2006/mizh-md5-47-5.cnf,sat,sat,error,unknown,sat,106.96,108.11,301.01,300.03,86.88
benchs/sat_race_2006/mizh-md5-47-4.cnf,sat,error,error,sat,sat,97.47,234.74,301.01,61.11,78.35
benchs/sat_race_2006/mizh-md5-47-3.cnf,sat,error,error,sat,sat,96.89,273.09,301.01,144.35,102.85
benchs/sat_race_2006/maris-s03-gripper11.cnf,unknown,error,sat,sat,sat,300.02,98.49,61.36,15.05,31.16
benchs/sat_race_2006/manol-pipe-g7nidw.cnf,unsat,error,unsat,unsat,unsat,14.76,146.02,22.25,6.67,7.81
benchs/sat_race_2006/manol-pipe-g6bi.cnf,unsat,unsat,unsat,unsat,unsat,0.74,9.45,1.89,0.53,0.77
benchs/sat_race_2006/manol-pipe-g10nid.cnf,unsat,error,error,unsat,unsat,91.83,119.92,301.01,179.63,177.16
benchs/sat_race_2006/manol-pipe-g10id.cnf,unsat,error,unsat,unsat,unsat,50.46,117.21,122.38,31.30,38.35
benchs/sat_race_2006/manol-pipe-g10bidw.cnf,unsat,error,error,unsat,unsat,159.82,142.10,301.01,214.39,256.48
benchs/sat_race_2006/manol-pipe-g10b.cnf,unsat,error,unsat,unsat,unsat,41.66,154.84,77.16,39.57,39.11
benchs/sat_race_2006/manol-pipe-f9n.cnf,unsat,error,error,unknown,unknown,243.87,151.16,301.01,300.05,300.05
benchs/sat_race_2006/manol-pipe-f9b.cnf,unsat,error,error,unknown,unknown,213.21,176.66,301.01,300.04,300.04
benchs/sat_race_2006/manol-pipe-f7idw.cnf,unsat,error,error,unsat,unsat,112.90,170.09,301.01,146.20,110.91
benchs/sat_race_2006/manol-pipe-f6bi.cnf,unsat,unsat,unsat,unsat,unsat,2.70,22.05,8.73,2.00,1.94
benchs/sat_race_2006/manol-pipe-f10ni.cnf,unknown,error,error,unknown,unknown,300.03,78.35,301.01,300.07,300.03
benchs/sat_race_2006/manol-pipe-c9nidw_s.cnf,unsat,unsat,unsat,unsat,unsat,85.25,57.27,23.60,6.19,15.58
benchs/sat_race_2006/manol-pipe-c9.cnf,unsat,unsat,unsat,unsat,unsat,5.72,74.92,7.03,1.76,2.42
benchs/sat_race_2006/manol-pipe-c7nidw.cnf,unsat,error,error,unknown,unknown,254.63,245.02,301.01,300.05,300.04
benchs/sat_race_2006/manol-pipe-c7bidw_i.cnf,unsat,error,error,unknown,unknown,191.73,250.20,301.01,300.04,300.03
benchs/sat_race_2006/manol-pipe-c7b_i.cnf,unsat,error,unsat,unsat,unsat,11.28,195.35,42.74,10.30,15.90
benchs/sat_race_2006/manol-pipe-c7b.cnf,unsat,error,unsat,unsat,unsat,10.90,194.38,41.67,10.59,14.72
benchs/sat_race_2006/manol-pipe-c6nidw_i.cnf,unsat,error,error,unsat,unsat,58.40,196.81,301.01,174.37,192.25
benchs/sat_race_2006/manol-pipe-c10nidw_s.cnf,unsat,error,unsat,unsat,unsat,123.16,32.29,42.13,10.83,13.84
benchs/sat_race_2006/manol-pipe-c10id_s.cnf,unsat,unsat,unsat,unsat,unsat,16.94,12.51,5.88,1.64,1.75
benchs/sat_race_2006/ibm-2004-6_02_3-k100.cnf,unsat,unsat,unsat,unsat,unsat,3.02,16.18,6.10,2.39,1.32
benchs/sat_race_2006/ibm-2004-3_11-k60.cnf,unknown,error,error,unknown,unknown,300.03,180.14,301.01,300.04,300.04
benchs/sat_race_2006/ibm-2004-3_02_3-k95.cnf,sat,sat,sat,sat,sat,3.54,15.42,4.66,1.95,2.12
benchs/sat_race_2006/ibm-2004-3_02_1-k95.cnf,unsat,unsat,unsat,unsat,unsat,2.10,16.49,1.41,0.36,0.47
benchs/sat_race_2006/ibm-2004-2_14-k45.cnf,unsat,unsat,unsat,unsat,unsat,10.23,127.39,28.57,8.50,7.92
benchs/sat_race_2006/ibm-2004-2_02_1-k100.cnf,unsat,unsat,unsat,unsat,unsat,9.74,48.20,12.75,4.78,4.69
benchs/sat_race_2006/ibm-2004-26-k25.cnf,unsat,unsat,unsat,unsat,unsat,2.54,30.72,1.11,0.21,0.29
benchs/sat_race_2006/ibm-2004-1_31_2-k25.cnf,unsat,error,unsat,unsat,unsat,21.31,257.40,80.81,38.29,43.57
benchs/sat_race_2006/ibm-2004-1_11-k25.cnf,unsat,unsat,unsat,unsat,unsat,2.75,26.75,6.79,1.80,2.28
benchs/sat_race_2006/ibm-2004-19-k90.cnf,sat,error,sat,sat,sat,30.39,86.04,86.34,29.32,34.10
benchs/sat_race_2006/ibm-2004-06-k90.cnf,sat,sat,sat,sat,sat,3.29,50.77,21.64,7.06,3.32
benchs/sat_race_2006/ibm-2004-04-k100.cnf,sat,error,error,sat,sat,107.75,153.14,301.01,139.47,173.56
benchs/sat_race_2006/ibm-2004-03-k70.cnf,sat,sat,sat,sat,sat,10.75,55.86,12.26,3.59,2.70
benchs/sat_race_2006/ibm-2002-27r-k95.cnf,sat,sat,sat,sat,sat,13.90,230.04,17.34,3.57,4.76
benchs/sat_race_2006/ibm-2002-26r-k45.cnf,unsat,error,unsat,unsat,unsat,7.71,102.52,3.92,1.03,1.18
benchs/sat_race_2006/ibm-2002-21r-k95.cnf,sat,error,sat,sat,sat,65.96,176.86,125.42,21.83,32.12
benchs/sat_race_2006/ibm-2002-19r-k100.cnf,sat,error,sat,sat,sat,149.55,42.48,81.71,52.86,44.01
benchs/sat_race_2006/ibm-2002-11r1-k45.cnf,sat,error,sat,sat,sat,42.95,199.70,64.90,21.19,53.47
benchs/sat_race_2006/ibm-2002-07r-k100.cnf,unsat,error,unsat,unsat,unsat,2.54,220.98,14.36,2.43,2.68
benchs/sat_race_2006/ibm-2002-05r-k90.cnf,sat,sat,sat,sat,sat,65.99,74.11,25.99,8.02,8.41
benchs/sat_race_2006/hoons-vbmc-lucky7.cnf,unsat,unsat,unsat,unsat,unsat,2.19,10.08,4.70,2.32,5.14
benchs/sat_race_2006/grieu-vmpc-s05-34.cnf,unknown,error,error,unknown,unknown,300.02,301.01,301.01,300.03,300.03
benchs/sat_race_2006/grieu-vmpc-s05-28.cnf,unknown,error,error,sat,sat,300.02,238.39,301.01,117.83,136.85
benchs/sat_race_2006/grieu-vmpc-s05-27.cnf,unknown,error,sat,sat,sat,300.02,228.44,133.38,51.58,15.88
benchs/sat_race_2006/grieu-vmpc-s05-25.cnf,sat,sat,sat,sat,sat,103.08,5.83,57.83,21.44,65.16
benchs/sat_race_2006/goldb-heqc-term1mul.cnf,unsat,error,unsat,unsat,unsat,39.55,120.31,278.04,49.07,71.77
benchs/sat_race_2006/goldb-heqc-i8mul.cnf,unknown,error,error,unsat,unsat,300.03,137.58,301.01,177.50,243.36
benchs/sat_race_2006/goldb-heqc-i10mul.cnf,unknown,error,error,unsat,unsat,300.02,178.51,301.01,144.05,184.33
benchs/sat_race_2006/goldb-heqc-frg2mul.cnf,unsat,error,unsat,unsat,unsat,55.99,143.11,112.90,30.50,42.90
benchs/sat_race_2006/goldb-heqc-desmul.cnf,unsat,unsat,unsat,unsat,unsat,53.45,136.50,69.89,19.39,29.79
benchs/sat_race_2006/goldb-heqc-dalumul.cnf,unsat,error,error,unknown,unknown,247.73,140.68,301.01,300.01,300.02
benchs/sat_race_2006/goldb-heqc-alu4mul.cnf,unsat,error,error,unsat,unsat,71.04,117.24,301.01,100.93,176.32
benchs/sat_race_2006/een-tip-uns-nusmv-t5.B.cnf,unsat,unsat,unsat,unsat,unsat,1.43,9.29,7.50,1.75,3.18
benchs/sat_race_2006/een-tip-sat-nusmv-tt5.B.cnf,sat,sat,sat,sat,sat,1.76,31.83,14.07,3.93,4.33
benchs/sat_race_2006/een-tip-sat-nusmv-t5.B.cnf,sat,sat,sat,sat,sat,1.82,28.70,13.49,4.24,5.57
benchs/sat_race_2006/een-pico-prop05-50.cnf,unsat,error,unsat,unsat,unsat,10.03,212.79,52.05,15.07,21.80
benchs/sat_race_2006/een-pico-prop01-75.cnf,unsat,unsat,unsat,unsat,unsat,1.13,7.99,3.42,0.73,1.01
benchs/sat_race_2006/aloul-chnl11-13.cnf,unknown,error,error,unknown,unknown,300.02,117.75,301.01,300.01,300.03
